source_id,title,publisher,url,primary_use,limitations
S01,"Middle East instability in 2023-25","UK House of Commons Library","https://commonslibrary.parliament.uk/middle-east-instability-in-2023-24/","Regional overview and links to deeper briefings","Secondary synthesis; UK framing"
S02,"Israel and the Occupied Palestinian Territories in 2025","UK House of Commons Library","https://commonslibrary.parliament.uk/research-briefings/cbp-10235/","2025 ceasefire, hostages, renewed fighting, international response","Secondary synthesis"
S03,"Survivors of Israel's pager attack on Hezbollah","Associated Press","https://apnews.com/projects/israel-gaza-war-pager-attack-survivors-hezbollah/","September 2024 Hezbollah communications operation","Journalistic reconstruction; triangulate operational claims"
S04,"Israel bombs hundreds of sites across Syria after Assad fall","Associated Press","https://apnews.com/article/90bc663aea10628735f8c1acd75664d4","Syrian collapse and destruction of military infrastructure","Fast-moving event reporting"
S05,"Gaza 2026: Board of Peace and National Transitional Committee","UK House of Commons Library","https://commonslibrary.parliament.uk/research-briefings/cbp-10492/","2026 Gaza control, demilitarization and transition","Secondary synthesis; rapidly evolving"
S06,"Israel/US-Iran conflict 2026","UK House of Commons Library","https://commonslibrary.parliament.uk/research-briefings/cbp-10521/","February-April 2026 Iran conflict and Hormuz","Secondary synthesis; verification difficult during war"
S07,"US-Iran ceasefire and nuclear talks in 2026","UK House of Commons Library","https://commonslibrary.parliament.uk/research-briefings/cbp-10637/","2026 talks, Hormuz, nuclear and missile demands","Some underlying texts unpublished"
S08,"Israel-Hezbollah conflict 2026 and UK response","UK House of Commons Library","https://commonslibrary.parliament.uk/research-briefings/cbp-10887/","2026 Lebanon war and negotiation track","Secondary synthesis"
S09,"Long, fraught timeline of Iran nuclear tensions","Associated Press","https://apnews.com/article/1c1e810598dd3323bcb5f0f771362471","Iran nuclear and conflict timeline through 2025","Timeline summary; supplement with IAEA and official records"
S10,"13 additional hostages return to Israel","Government of Israel","https://www.gov.il/en/pages/13-additional-hostages-return-to-israel-prime-minister-s-office-announcement-13-oct-2025","Official hostage-return names and date","Official Israeli source"
S11,"Return home of the last hostage Ran Gvili","President of Israel","https://www.president.gov.il/en/president-herzog-addresses-the-return-home-of-the-last-hostage-ran-gvili/","Official final hostage-return date","Official Israeli source"
S12,"UN Security Council Resolution 2803 (2025)","United Nations","https://digitallibrary.un.org/record/4093207","Formal Gaza plan framework","Formal text; implementation requires separate sources"
S13,"Israel land seizures mapping project","Associated Press","https://apnews.com/projects/israel-expansion-maps/","Territorial control and map research","Journalistic mapping; compare official and local sources"
S14,"Damage to Iran's Nuclear Program—Can It Rebuild?","CSIS Nuclear Network","https://nuclearnetwork.csis.org/damage-to-irans-nuclear-program-can-it-rebuild/","Technical interpretation of 2025 nuclear-site strikes","Analytic source; not primary"
S15,"Israel says Gaza drone strike targeted a Hamas commander","Associated Press","https://apnews.com/article/870153cd1ea715829c5f15c9757f4e60","Current regional snapshot at package creation","Rapidly changing; corroborate"
S16,"Israel rejects Trump's Gaza plan and Hormuz update","Associated Press","https://apnews.com/article/6c5aa0c5debcca3fa36316a8b0b67400","Current Gaza and Hormuz dispute","Rapidly changing; corroborate"
S17,"Syria research portal","CSIS","https://www.csis.org/regions/middle-east/syria","Successor-state analysis","Secondary analytic source"
S18,"Missiles of Iran","CSIS Missile Threat","https://missilethreat.csis.org/country/iran/","Iranian missile capability","Technical secondary source"
S19,"Israel Ministry of Defense","Government of Israel","https://www.mod.gov.il/en","Defense industry and capability announcements","Official source; claims require context"
S20,"Israel Central Bureau of Statistics","Government of Israel","https://www.cbs.gov.il/en","Economy, demographics, education and migration","Official statistical source"
